date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:00	5232/5232	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f5ff310-247b%22	http://findmatthew.com/robots.txt		(from )
13:43:00	23037/23037	---MCZ	200	added ('OK')	text/html	etag:W/%22603fdb87-59fd%22	http://findmatthew.com/	C:/My%20Web%20Sites/Portfolio/findmatthew.com/index.html	(from )
13:43:01	64666/64666	---MCZ	200	added ('OK')	text/css	etag:W/%22603fdb87-fc9a%22	http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	C:/My%20Web%20Sites/Portfolio/findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	(from http://findmatthew.com/)
13:43:01	25283/25283	---MCZ	200	added ('OK')	text/css	etag:W/%22603fdb87-62c3%22	http://findmatthew.com/style/style.css	C:/My%20Web%20Sites/Portfolio/findmatthew.com/style/style.css	(from http://findmatthew.com/)
13:43:01	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22603fdb87-47e%22	http://findmatthew.com/favicon.ico	C:/My%20Web%20Sites/Portfolio/findmatthew.com/favicon.ico	(from http://findmatthew.com/)
13:43:02	5876/5876	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03faa-16f4%22	https://cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	C:/My%20Web%20Sites/Portfolio/cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	(from http://findmatthew.com/)
13:43:02	85589/85589	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	C:/My%20Web%20Sites/Portfolio/ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	(from http://findmatthew.com/)
13:43:02	29299/29299	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f24-7273%22	https://cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	C:/My%20Web%20Sites/Portfolio/cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	(from http://findmatthew.com/)
13:43:03	8833/8833	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-2281%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	C:/My%20Web%20Sites/Portfolio/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	(from http://findmatthew.com/)
13:43:04	89049/89049	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603fdb87-15bd9%22	http://findmatthew.com/scripts/pt.min.js	C:/My%20Web%20Sites/Portfolio/findmatthew.com/scripts/pt.min.js	(from http://findmatthew.com/)
13:43:04	4597/4597	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603fdb87-11f5%22	http://findmatthew.com/scripts/index.js	C:/My%20Web%20Sites/Portfolio/findmatthew.com/scripts/index.js	(from http://findmatthew.com/)
13:43:05	5877/5877	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603fdb87-16f5%22	http://findmatthew.com/scripts/modal.js	C:/My%20Web%20Sites/Portfolio/findmatthew.com/scripts/modal.js	(from http://findmatthew.com/)
13:43:06	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f9757f1-247b%22	http://findmatthew.com/img/filler.jpg	C:/My%20Web%20Sites/Portfolio/findmatthew.com/img/filler.b.delayed	(from http://findmatthew.com/)
13:43:34	210416/210416	---M--	200	added ('OK')	image/png	etag:%22603fdb87-335f0%22	http://findmatthew.com/img/me.png	C:/My%20Web%20Sites/Portfolio/findmatthew.com/img/me.png	(from http://findmatthew.com/)
13:43:40	31069/31069	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-795d%22	http://findmatthew.com/img/thumb-4.jpg	C:/My%20Web%20Sites/Portfolio/findmatthew.com/img/thumb-4.jpg	(from http://findmatthew.com/)
13:43:47	43889/43889	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-ab71%22	http://findmatthew.com/img/thumb-5.jpg	C:/My%20Web%20Sites/Portfolio/findmatthew.com/img/thumb-5.jpg	(from http://findmatthew.com/)
13:43:52	23851/23851	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-5d2b%22	http://findmatthew.com/img/thumb-6.jpg	C:/My%20Web%20Sites/Portfolio/findmatthew.com/img/thumb-6.jpg	(from http://findmatthew.com/)
13:43:57	315448/315448	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-4d038%22	http://findmatthew.com/img/thumb-3.jpg	C:/My%20Web%20Sites/Portfolio/findmatthew.com/img/thumb-3.jpg	(from http://findmatthew.com/)
